specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-022_10s_1,4,post,3227,351,330,0.9895,0.0,0.0,0.0,0.0
Rec-022_10s_1,4,post,3228,349,330,0.9936,-2.0,0.0,180.0,2.0
Rec-022_10s_1,5,pre,3340,299,331,0.987,,,,
Rec-022_10s_1,5,pre,3341,291,331,0.9855,-8.0,0.0,180.0,8.0
Rec-022_10s_1,5,pre,3342,290,331,0.9887,-1.0,0.0,180.0,1.0
Rec-022_10s_1,5,pre,3343,290,331,0.9902,0.0,0.0,0.0,0.0
Rec-022_10s_1,5,pre,3344,290,331,0.9888,0.0,0.0,0.0,0.0
Rec-022_10s_1,5,core,3345,290,331,0.9836,0.0,0.0,0.0,0.0
Rec-022_10s_1,5,core,3346,293,332,0.9834,3.0,1.0,-18.43,3.16
Rec-022_10s_1,5,core,3347,297,331,0.9831,4.0,-1.0,14.04,4.12
Rec-022_10s_1,5,core,3348,302,331,0.9854,5.0,0.0,0.0,5.0
Rec-022_10s_1,5,core,3349,306,331,0.9857,4.0,0.0,0.0,4.0
Rec-022_10s_1,5,core,3350,311,331,0.988,5.0,0.0,0.0,5.0
Rec-022_10s_1,5,core,3351,320,331,0.9898,9.0,0.0,0.0,9.0
Rec-022_10s_1,5,core,3352,324,331,0.9882,4.0,0.0,0.0,4.0
Rec-022_10s_1,5,core,3353,338,331,0.992,14.0,0.0,0.0,14.0
Rec-022_10s_1,5,core,3354,342,331,0.9887,4.0,0.0,0.0,4.0
Rec-022_10s_1,5,core,3355,347,331,0.9915,5.0,0.0,0.0,5.0
Rec-022_10s_1,5,core,3356,351,331,0.9875,4.0,0.0,0.0,4.0
Rec-022_10s_1,5,core,3357,355,331,0.9902,4.0,0.0,0.0,4.0
Rec-022_10s_1,5,post,3358,355,330,0.9909,0.0,-1.0,90.0,1.0
Rec-022_10s_1,5,post,3359,355,330,0.9895,0.0,0.0,0.0,0.0
Rec-022_10s_1,5,post,3360,352,330,0.9821,-3.0,0.0,180.0,3.0
Rec-022_10s_1,5,post,3361,344,330,0.9919,-8.0,0.0,180.0,8.0
Rec-022_10s_1,5,post,3362,344,330,0.9895,0.0,0.0,0.0,0.0
Rec-022_10s_1,6,pre,3477,297,331,0.9849,,,,
Rec-022_10s_1,6,pre,3478,292,331,0.987,-5.0,0.0,180.0,5.0
Rec-022_10s_1,6,pre,3479,290,331,0.9874,-2.0,0.0,180.0,2.0
Rec-022_10s_1,6,pre,3480,290,331,0.9899,0.0,0.0,0.0,0.0
Rec-022_10s_1,6,pre,3481,290,331,0.99,0.0,0.0,0.0,0.0
Rec-022_10s_1,6,core,3482,291,332,0.9836,1.0,1.0,-45.0,1.41
Rec-022_10s_1,6,core,3483,296,331,0.9825,5.0,-1.0,11.31,5.1
Rec-022_10s_1,6,core,3484,300,331,0.9855,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3485,305,331,0.9844,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3486,309,331,0.9878,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3487,314,331,0.9866,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3488,318,331,0.9893,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3489,323,331,0.9885,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3490,327,331,0.9903,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3491,332,331,0.9901,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3492,336,331,0.9908,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3493,341,331,0.9915,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3494,345,331,0.9907,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3495,350,331,0.9908,5.0,0.0,0.0,5.0
Rec-022_10s_1,6,core,3496,354,331,0.99,4.0,0.0,0.0,4.0
Rec-022_10s_1,6,core,3497,355,331,0.9879,1.0,0.0,0.0,1.0
Rec-022_10s_1,6,post,3498,355,330,0.9908,0.0,-1.0,90.0,1.0
Rec-022_10s_1,6,post,3499,355,330,0.9917,0.0,0.0,0.0,0.0
Rec-022_10s_1,6,post,3500,350,330,0.9911,-5.0,0.0,180.0,5.0
Rec-022_10s_1,6,post,3501,351,330,0.99,1.0,0.0,0.0,1.0
Rec-022_10s_1,6,post,3502,346,330,0.991,-5.0,0.0,180.0,5.0
Rec-024_90s_1,1,pre,4796,306,330,0.986,,,,
Rec-024_90s_1,1,pre,4797,292,330,0.9813,-14.0,0.0,180.0,14.0
Rec-024_90s_1,1,pre,4798,290,331,0.9847,-2.0,1.0,-153.43,2.24
Rec-024_90s_1,1,pre,4799,290,331,0.9886,0.0,0.0,0.0,0.0
Rec-024_90s_1,1,pre,4800,290,331,0.9851,0.0,0.0,0.0,0.0
Rec-024_90s_1,1,core,4801,292,332,0.983,2.0,1.0,-26.57,2.24
Rec-024_90s_1,1,core,4802,297,331,0.9801,5.0,-1.0,11.31,5.1
Rec-024_90s_1,1,core,4803,301,331,0.9831,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4804,306,331,0.9812,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4805,310,331,0.9835,4.0,0.0,0.0,4.0
