specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,7,core,2066,328,331,0.9877,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2067,333,331,0.9857,5.0,0.0,0.0,5.0
Rec-027_std_2,7,core,2068,337,331,0.9872,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2069,342,331,0.9855,5.0,0.0,0.0,5.0
Rec-027_std_2,7,core,2070,346,331,0.986,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2071,351,331,0.9836,5.0,0.0,0.0,5.0
Rec-027_std_2,7,core,2072,355,331,0.9838,4.0,0.0,0.0,4.0
Rec-027_std_2,7,post,2073,355,330,0.9916,0.0,-1.0,90.0,1.0
Rec-027_std_2,7,post,2074,355,330,0.9921,0.0,0.0,0.0,0.0
Rec-027_std_2,7,post,2075,354,330,0.9923,-1.0,0.0,180.0,1.0
Rec-027_std_2,7,post,2076,347,330,0.9865,-7.0,0.0,180.0,7.0
Rec-027_std_2,7,post,2077,346,330,0.9846,-1.0,0.0,180.0,1.0
Rec-027_std_2,8,pre,2208,304,330,0.991,,,,
Rec-027_std_2,8,pre,2209,300,330,0.992,-4.0,0.0,180.0,4.0
Rec-027_std_2,8,pre,2210,295,330,0.988,-5.0,0.0,180.0,5.0
Rec-027_std_2,8,pre,2211,290,331,0.9857,-5.0,1.0,-168.69,5.1
Rec-027_std_2,8,pre,2212,290,331,0.9896,0.0,0.0,0.0,0.0
Rec-027_std_2,8,core,2213,290,331,0.9861,0.0,0.0,0.0,0.0
Rec-027_std_2,8,core,2214,298,331,0.9862,8.0,0.0,0.0,8.0
Rec-027_std_2,8,core,2215,302,331,0.9863,4.0,0.0,0.0,4.0
Rec-027_std_2,8,core,2216,307,331,0.9872,5.0,0.0,0.0,5.0
Rec-027_std_2,8,core,2217,311,331,0.987,4.0,0.0,0.0,4.0
Rec-027_std_2,8,core,2218,320,331,0.9862,9.0,0.0,0.0,9.0
Rec-027_std_2,8,core,2219,325,331,0.9875,5.0,0.0,0.0,5.0
Rec-027_std_2,8,core,2220,329,331,0.9856,4.0,0.0,0.0,4.0
Rec-027_std_2,8,core,2221,334,331,0.9877,5.0,0.0,0.0,5.0
Rec-027_std_2,8,core,2222,338,331,0.9847,4.0,0.0,0.0,4.0
Rec-027_std_2,8,core,2223,343,331,0.9869,5.0,0.0,0.0,5.0
Rec-027_std_2,8,core,2224,347,331,0.9829,4.0,0.0,0.0,4.0
Rec-027_std_2,8,core,2225,352,331,0.9848,5.0,0.0,0.0,5.0
Rec-027_std_2,8,core,2226,355,331,0.9829,3.0,0.0,0.0,3.0
