specimen,pausa_s,peso_rottura_kg,pixel_row,pixel_col,pixel_id,T1_px,T2_px,T3_px,T4_px,T5_px,T6_px,delta_T_px,T_mean_px,T_std_px,T_max_px,T_min_px,fit_ok,fit_error,T0,A,alpha,T_inf,t_star,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,bed_temp_C,bed_temp_std_C
Rec-022_10s_1,10,2.5,2,0,10,90.15545454545453,93.80636363636364,95.78466666666667,97.16142857142856,97.47583333333334,98.0907142857143,7.935259740259767,95.41241017316018,2.9947833398002124,98.0907142857143,90.15545454545453,True,,86.65915729327843,12.004029411590837,0.011678537080577306,98.66318670486926,282.72449398409447,0.14018950259960417,5.402629022977771,4.16094331620444,0.01398786626444023,68.711,1.303
Rec-022_10s_1,10,2.5,2,1,11,88.87181818181817,92.57363636363637,94.55533333333334,95.92,96.16416666666667,96.69499999999998,7.8231818181818085,94.12999242424242,2.972299152963268,96.69499999999998,88.87181818181817,True,,85.15681697499902,12.025322306515763,0.012476112793189956,97.18213928151478,270.08763893816024,0.15002927747055386,5.3532841039177885,4.226241764199084,0.012486866225250415,68.711,1.303
Rec-022_10s_1,10,2.5,2,2,12,87.68636363636364,91.48636363636365,93.39800000000001,94.9507142857143,94.94333333333334,95.61000000000001,7.923636363636376,93.01246248196249,3.002573204252491,95.61000000000001,87.68636363636364,True,,83.8360041865812,12.201190268035242,0.012777415189514465,96.03719445461645,266.72265264837307,0.15589967386094958,5.249532501938819,4.242270592989267,0.011343165163971582,68.711,1.303
Rec-022_10s_1,10,2.5,2,3,13,86.99363636363637,90.79454545454546,92.49266666666668,93.82785714285714,93.94916666666666,94.75571428571432,7.76207792207795,92.13559776334779,2.876924437595965,94.75571428571432,86.99363636363637,True,,83.4042019944048,11.6512244266709,0.012634739349518306,95.05542642107571,265.19540161740656,0.14721018373372768,5.582462910119158,4.54100643405782,0.011988774127015534,68.711,1.303
Rec-022_10s_1,10,2.5,2,4,14,86.20636363636365,90.00727272727273,91.69666666666666,93.28285714285714,92.8633333333333,94.29142857142858,8.085064935064935,91.39132034632034,2.93421068347838,94.29142857142858,86.20636363636365,True,,82.65421161678468,12.054449216185922,0.01191573314728801,94.7086608329706,279.1357283348025,0.14363760009760657,5.755059026045323,4.5476408994815625,0.012689644331374246,68.711,1.303
Rec-024_90s_1,90,1.75,0,0,0,107.13923076923076,116.93000000000002,117.023,117.55285714285715,116.45555555555555,122.54307692307692,15.40384615384616,116.2739533984534,5.00809563338049,122.54307692307692,107.13923076923076,True,,84.75199846450508,33.95004839724737,0.03761683403650789,118.70204686175245,146.50768662216583,1.277093336090665,66.72957576735736,64.59440191852677,0.07008679139784602,65.416,2.467
Rec-024_90s_1,90,1.75,0,1,1,98.99692307692308,108.20785714285715,109.101,109.52642857142858,109.64222222222223,113.40076923076926,14.403846153846175,108.14586670736672,4.8244859496453465,113.40076923076926,98.99692307692308,True,,82.31593066244567,28.410850601919286,0.03096008322234124,110.72678126436494,165.96477550709102,0.8796022990529248,24.583085349672714,23.332962664722746,0.029256615230623062,65.416,2.467
Rec-024_90s_1,90,1.75,0,2,2,94.1123076923077,102.47,104.15899999999999,104.52571428571427,104.63777777777779,107.80538461538464,13.693076923076944,102.9516973951974,4.66268373663107,107.80538461538464,94.1123076923077,True,,82.67711763751554,23.259958556311474,0.023940570653706337,105.93707619382701,195.53089853074283,0.5568566812196561,13.538326523286393,12.754547002561727,0.016801119478651254,65.416,2.467
Rec-024_90s_1,90,1.75,0,3,3,90.72923076923077,98.5942857142857,100.14599999999999,100.95857142857143,101.43888888888888,103.79846153846155,13.069230769230785,99.27757305657305,4.521740309418856,103.79846153846155,90.72923076923077,True,,82.40107907538584,20.215614781878244,0.01942182581867925,102.61669385726408,223.03084274199665,0.3926241491111568,10.4938549047474,9.760921812354516,0.013081066335652147,65.416,2.467
Rec-024_90s_1,90,1.75,0,4,4,88.56076923076924,95.76500000000001,97.649,98.59500000000001,99.2688888888889,101.33307692307692,12.772307692307677,96.86195584045585,4.461393106370496,101.33307692307692,88.56076923076924,True,,83.76118774691776,17.554437241378235,0.012425096285312914,101.315624988296,301.31263185232564,0.2181155729586074,7.436567038685957,6.113414297734973,0.010291725256151288,65.416,2.467
Rec-024_90s_1,90,1.75,1,0,5,91.14923076923075,99.02214285714285,100.09,102.12142857142855,102.28555555555555,104.96769230769232,13.818461538461563,99.93934167684166,4.76823938619419,104.96769230769232,91.14923076923075,True,,82.86906899621567,21.009534491220236,0.017921804086148182,103.87860348743591,239.36249964779157,0.376528761092822,9.390278450203265,8.34231701690812,0.01325958380732894,65.416,2.467
Rec-024_90s_1,90,1.75,1,1,6,88.47615384615386,96.19214285714285,97.486,99.44714285714284,99.69222222222223,102.16846153846153,13.692307692307665,97.24368722018721,4.756848641309831,102.16846153846153,88.47615384615386,True,,80.9039160743684,20.35585501993209,0.017071084355567104,101.25977109430049,246.59054731885007,0.3474965181749548,8.421421376640136,7.619264110809159,0.010349178079244955,65.416,2.467
Rec-024_90s_1,90,1.75,1,2,7,86.05461538461539,93.51642857142858,95.532,97.15928571428572,97.64444444444445,99.58076923076925,13.52615384615386,94.91459055759056,4.797899403383751,99.58076923076925,86.05461538461539,True,,79.44380130937463,19.800647602730113,0.015087039602312167,99.24444891210474,268.9967158161109,0.29873315453381666,7.452766422617011,6.582904900207811,0.00898252603229862,65.416,2.467
